English,Braille
wish love bright hate fast black good,⠺⠊⠎⠓ ⠇⠕⠧⠑ ⠃⠗⠊⠛⠓⠞ ⠓⠁⠞⠑ ⠋⠁⠎⠞ ⠃⠇⠁⠉⠅ ⠛⠕⠕⠙
good hate today yellow dream how,⠛⠕⠕⠙ ⠓⠁⠞⠑ ⠞⠕⠙⠁⠽ ⠽⠑⠇⠇⠕⠺ ⠙⠗⠑⠁⠍ ⠓⠕⠺
red fast yellow slow slow,⠗⠑⠙ ⠋⠁⠎⠞ ⠽⠑⠇⠇⠕⠺ ⠎⠇⠕⠺ ⠎⠇⠕⠺
red open morning love,⠗⠑⠙ ⠕⠏⠑⠝ ⠍⠕⠗⠝⠊⠝⠛ ⠇⠕⠧⠑
sad night open hate feel fast,⠎⠁⠙ ⠝⠊⠛⠓⠞ ⠕⠏⠑⠝ ⠓⠁⠞⠑ ⠋⠑⠑⠇ ⠋⠁⠎⠞
fast touch open hate good,⠋⠁⠎⠞ ⠞⠕⠥⠉⠓ ⠕⠏⠑⠝ ⠓⠁⠞⠑ ⠛⠕⠕⠙
white come world good happy feel send,⠺⠓⠊⠞⠑ ⠉⠕⠍⠑ ⠺⠕⠗⠇⠙ ⠛⠕⠕⠙ ⠓⠁⠏⠏⠽ ⠋⠑⠑⠇ ⠎⠑⠝⠙
see how bring wish,⠎⠑⠑ ⠓⠕⠺ ⠃⠗⠊⠝⠛ ⠺⠊⠎⠓
how close yellow night today bring,⠓⠕⠺ ⠉⠇⠕⠎⠑ ⠽⠑⠇⠇⠕⠺ ⠝⠊⠛⠓⠞ ⠞⠕⠙⠁⠽ ⠃⠗⠊⠝⠛
love green night close see,⠇⠕⠧⠑ ⠛⠗⠑⠑⠝ ⠝⠊⠛⠓⠞ ⠉⠇⠕⠎⠑ ⠎⠑⠑
hello bring happy write see black black,⠓⠑⠇⠇⠕ ⠃⠗⠊⠝⠛ ⠓⠁⠏⠏⠽ ⠺⠗⠊⠞⠑ ⠎⠑⠑ ⠃⠇⠁⠉⠅ ⠃⠇⠁⠉⠅
wish how see dream read,⠺⠊⠎⠓ ⠓⠕⠺ ⠎⠑⠑ ⠙⠗⠑⠁⠍ ⠗⠑⠁⠙
smile slow love touch hold how,⠎⠍⠊⠇⠑ ⠎⠇⠕⠺ ⠇⠕⠧⠑ ⠞⠕⠥⠉⠓ ⠓⠕⠇⠙ ⠓⠕⠺
sad yellow white morning send stay red,⠎⠁⠙ ⠽⠑⠇⠇⠕⠺ ⠺⠓⠊⠞⠑ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠑⠝⠙ ⠎⠞⠁⠽ ⠗⠑⠙
hate green bring feel dream,⠓⠁⠞⠑ ⠛⠗⠑⠑⠝ ⠃⠗⠊⠝⠛ ⠋⠑⠑⠇ ⠙⠗⠑⠁⠍
bring dark take take slow,⠃⠗⠊⠝⠛ ⠙⠁⠗⠅ ⠞⠁⠅⠑ ⠞⠁⠅⠑ ⠎⠇⠕⠺
are good touch go today touch take blue,⠁⠗⠑ ⠛⠕⠕⠙ ⠞⠕⠥⠉⠓ ⠛⠕ ⠞⠕⠙⠁⠽ ⠞⠕⠥⠉⠓ ⠞⠁⠅⠑ ⠃⠇⠥⠑
red think read open think,⠗⠑⠙ ⠞⠓⠊⠝⠅ ⠗⠑⠁⠙ ⠕⠏⠑⠝ ⠞⠓⠊⠝⠅
stay wish world go,⠎⠞⠁⠽ ⠺⠊⠎⠓ ⠺⠕⠗⠇⠙ ⠛⠕
good wish sad come bring red blue black,⠛⠕⠕⠙ ⠺⠊⠎⠓ ⠎⠁⠙ ⠉⠕⠍⠑ ⠃⠗⠊⠝⠛ ⠗⠑⠙ ⠃⠇⠥⠑ ⠃⠇⠁⠉⠅
give you yellow black today feel send,⠛⠊⠧⠑ ⠽⠕⠥ ⠽⠑⠇⠇⠕⠺ ⠃⠇⠁⠉⠅ ⠞⠕⠙⠁⠽ ⠋⠑⠑⠇ ⠎⠑⠝⠙
see hold smile hello come close,⠎⠑⠑ ⠓⠕⠇⠙ ⠎⠍⠊⠇⠑ ⠓⠑⠇⠇⠕ ⠉⠕⠍⠑ ⠉⠇⠕⠎⠑
read sun wish morning read run stay hate,⠗⠑⠁⠙ ⠎⠥⠝ ⠺⠊⠎⠓ ⠍⠕⠗⠝⠊⠝⠛ ⠗⠑⠁⠙ ⠗⠥⠝ ⠎⠞⠁⠽ ⠓⠁⠞⠑
see dark dark hold,⠎⠑⠑ ⠙⠁⠗⠅ ⠙⠁⠗⠅ ⠓⠕⠇⠙
read blue slow come give bright come take,⠗⠑⠁⠙ ⠃⠇⠥⠑ ⠎⠇⠕⠺ ⠉⠕⠍⠑ ⠛⠊⠧⠑ ⠃⠗⠊⠛⠓⠞ ⠉⠕⠍⠑ ⠞⠁⠅⠑
blue sad run love blue,⠃⠇⠥⠑ ⠎⠁⠙ ⠗⠥⠝ ⠇⠕⠧⠑ ⠃⠇⠥⠑
stay stay red fast touch walk jump take,⠎⠞⠁⠽ ⠎⠞⠁⠽ ⠗⠑⠙ ⠋⠁⠎⠞ ⠞⠕⠥⠉⠓ ⠺⠁⠇⠅ ⠚⠥⠍⠏ ⠞⠁⠅⠑
walk see morning take bright,⠺⠁⠇⠅ ⠎⠑⠑ ⠍⠕⠗⠝⠊⠝⠛ ⠞⠁⠅⠑ ⠃⠗⠊⠛⠓⠞
white touch morning morning red give dream,⠺⠓⠊⠞⠑ ⠞⠕⠥⠉⠓ ⠍⠕⠗⠝⠊⠝⠛ ⠍⠕⠗⠝⠊⠝⠛ ⠗⠑⠙ ⠛⠊⠧⠑ ⠙⠗⠑⠁⠍
red write walk white touch good,⠗⠑⠙ ⠺⠗⠊⠞⠑ ⠺⠁⠇⠅ ⠺⠓⠊⠞⠑ ⠞⠕⠥⠉⠓ ⠛⠕⠕⠙
feel smile red run see fast,⠋⠑⠑⠇ ⠎⠍⠊⠇⠑ ⠗⠑⠙ ⠗⠥⠝ ⠎⠑⠑ ⠋⠁⠎⠞
open stand dark black take give send,⠕⠏⠑⠝ ⠎⠞⠁⠝⠙ ⠙⠁⠗⠅ ⠃⠇⠁⠉⠅ ⠞⠁⠅⠑ ⠛⠊⠧⠑ ⠎⠑⠝⠙
think today send send hello,⠞⠓⠊⠝⠅ ⠞⠕⠙⠁⠽ ⠎⠑⠝⠙ ⠎⠑⠝⠙ ⠓⠑⠇⠇⠕
touch dark dream close sad,⠞⠕⠥⠉⠓ ⠙⠁⠗⠅ ⠙⠗⠑⠁⠍ ⠉⠇⠕⠎⠑ ⠎⠁⠙
see send send open sad read today,⠎⠑⠑ ⠎⠑⠝⠙ ⠎⠑⠝⠙ ⠕⠏⠑⠝ ⠎⠁⠙ ⠗⠑⠁⠙ ⠞⠕⠙⠁⠽
run give dream red hate smile,⠗⠥⠝ ⠛⠊⠧⠑ ⠙⠗⠑⠁⠍ ⠗⠑⠙ ⠓⠁⠞⠑ ⠎⠍⠊⠇⠑
write green walk jump feel fast hello,⠺⠗⠊⠞⠑ ⠛⠗⠑⠑⠝ ⠺⠁⠇⠅ ⠚⠥⠍⠏ ⠋⠑⠑⠇ ⠋⠁⠎⠞ ⠓⠑⠇⠇⠕
go hate see are good sad,⠛⠕ ⠓⠁⠞⠑ ⠎⠑⠑ ⠁⠗⠑ ⠛⠕⠕⠙ ⠎⠁⠙
black give white bright world blue slow read,⠃⠇⠁⠉⠅ ⠛⠊⠧⠑ ⠺⠓⠊⠞⠑ ⠃⠗⠊⠛⠓⠞ ⠺⠕⠗⠇⠙ ⠃⠇⠥⠑ ⠎⠇⠕⠺ ⠗⠑⠁⠙
stay hold sad sad sun hello,⠎⠞⠁⠽ ⠓⠕⠇⠙ ⠎⠁⠙ ⠎⠁⠙ ⠎⠥⠝ ⠓⠑⠇⠇⠕
today are moon touch touch love bright laugh,⠞⠕⠙⠁⠽ ⠁⠗⠑ ⠍⠕⠕⠝ ⠞⠕⠥⠉⠓ ⠞⠕⠥⠉⠓ ⠇⠕⠧⠑ ⠃⠗⠊⠛⠓⠞ ⠇⠁⠥⠛⠓
come hate night today green write hello,⠉⠕⠍⠑ ⠓⠁⠞⠑ ⠝⠊⠛⠓⠞ ⠞⠕⠙⠁⠽ ⠛⠗⠑⠑⠝ ⠺⠗⠊⠞⠑ ⠓⠑⠇⠇⠕
night love think white white how,⠝⠊⠛⠓⠞ ⠇⠕⠧⠑ ⠞⠓⠊⠝⠅ ⠺⠓⠊⠞⠑ ⠺⠓⠊⠞⠑ ⠓⠕⠺
send touch good fast yellow close dark,⠎⠑⠝⠙ ⠞⠕⠥⠉⠓ ⠛⠕⠕⠙ ⠋⠁⠎⠞ ⠽⠑⠇⠇⠕⠺ ⠉⠇⠕⠎⠑ ⠙⠁⠗⠅
night moon green blue stay,⠝⠊⠛⠓⠞ ⠍⠕⠕⠝ ⠛⠗⠑⠑⠝ ⠃⠇⠥⠑ ⠎⠞⠁⠽
green red stand black are go stand,⠛⠗⠑⠑⠝ ⠗⠑⠙ ⠎⠞⠁⠝⠙ ⠃⠇⠁⠉⠅ ⠁⠗⠑ ⠛⠕ ⠎⠞⠁⠝⠙
close good bright see feel close,⠉⠇⠕⠎⠑ ⠛⠕⠕⠙ ⠃⠗⠊⠛⠓⠞ ⠎⠑⠑ ⠋⠑⠑⠇ ⠉⠇⠕⠎⠑
sun bright jump feel dark,⠎⠥⠝ ⠃⠗⠊⠛⠓⠞ ⠚⠥⠍⠏ ⠋⠑⠑⠇ ⠙⠁⠗⠅
give run feel walk night,⠛⠊⠧⠑ ⠗⠥⠝ ⠋⠑⠑⠇ ⠺⠁⠇⠅ ⠝⠊⠛⠓⠞
white bring touch how dark read,⠺⠓⠊⠞⠑ ⠃⠗⠊⠝⠛ ⠞⠕⠥⠉⠓ ⠓⠕⠺ ⠙⠁⠗⠅ ⠗⠑⠁⠙
send love feel sad think close hello,⠎⠑⠝⠙ ⠇⠕⠧⠑ ⠋⠑⠑⠇ ⠎⠁⠙ ⠞⠓⠊⠝⠅ ⠉⠇⠕⠎⠑ ⠓⠑⠇⠇⠕
