English,Braille
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
Python is fun.,⠏⠽⠞⠓⠕⠝ ⠊⠎ ⠋⠥⠝⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Accessibility matters.,⠁⠉⠉⠑⠎⠎⠊⠃⠊⠇⠊⠞⠽ ⠍⠁⠞⠞⠑⠗⠎⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
This is a test sentence.,⠞⠓⠊⠎ ⠊⠎ ⠁ ⠞⠑⠎⠞ ⠎⠑⠝⠞⠑⠝⠉⠑⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
Hello world.,⠓⠑⠇⠇⠕ ⠺⠕⠗⠇⠙⠲
This dataset is synthetic.,⠞⠓⠊⠎ ⠙⠁⠞⠁⠎⠑⠞ ⠊⠎ ⠎⠽⠝⠞⠓⠑⠞⠊⠉⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
How do you read this?,⠓⠕⠺ ⠙⠕ ⠽⠕⠥ ⠗⠑⠁⠙ ⠞⠓⠊⠎⠦
Machine learning is fascinating.,⠍⠁⠉⠓⠊⠝⠑ ⠇⠑⠁⠗⠝⠊⠝⠛ ⠊⠎ ⠋⠁⠎⠉⠊⠝⠁⠞⠊⠝⠛⠲
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
Braille is a tactile writing system.,⠃⠗⠁⠊⠇⠇⠑ ⠊⠎ ⠁ ⠞⠁⠉⠞⠊⠇⠑ ⠺⠗⠊⠞⠊⠝⠛ ⠎⠽⠎⠞⠑⠍⠲
Can you understand this text?,⠉⠁⠝ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠞⠓⠊⠎ ⠞⠑⠭⠞⠦
I like programming.,⠊ ⠇⠊⠅⠑ ⠏⠗⠕⠛⠗⠁⠍⠍⠊⠝⠛⠲
